InputStoryid	InputSentence1	InputSentence2	InputSentence3	InputSentence4	RandomFifthSentenceQuiz1	RandomFifthSentenceQuiz2	AnswerRightEnding
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2	Ricky creceu nunha casa conflitiva.	Nunca atopou apoio na súa familia e uniuse a bandas.	Non pasou moito antes de que Ricky fose disparado nun roubo.	O incidente fíxoo pasar a páxina.	Agora está feliz.	Uniuse a unha banda.	1
bff9f820-9605-4875-b9af-fe6f14d04256	Laverne ten que preparar algo para a festa da súa amiga.	Decide cocer algúns brownies.	Elixiu unha receita e séguea con coidado.	Laverne proba un dos brownies para comprobar que está delicioso.	Os brownies están tan ricos que Laverne come dous deles.	Laverne non vai á festa da súa amiga.	1
e8f628d5-9f97-40ed-8611-fc0e774673c4	Sara levaba anos soñando con viaxar a Europa.	Finalmente aforrou o suficiente para a viaxe.	Aterrou en España e viaxou por todo o continente.	Non lle gustaba o diferente que era todo.	Entón, Sara decidiu mudarse a Europa.	Sara decidiu que preferiu a súa casa a Europa.	2
f5226bfe-9f26-4377-b05f-3d9568dbdec1	Gina temía que a masa de galletas do tubo fose repugnante.	Ela estaba moi feliz ao descubrir que estaba equivocada.	As galletas do tubo eran tan boas como as caseiras.	Gina só pretendía comer 2 galletas e gardar o resto.	A Gina gustáronlle tanto as galletas, que as comeu todas dunha asentada.	Gina doou as galletas á súa igrexa.	1
69ac9b05-b956-402f-9fff-1f926ef9176b	Foi a miña última actuación coa banda de música.	Eu tocaba a caixa na banda.	Tocamos Thriller e Radar Love.	A actuación foi perfecta.	Estou moi orgulloso da miña actuación.	Avergonceime moito da miña actuación.	1
0f65bab6-8165-4361-980a-117046569fe2	Estívenlle dando moedas ao vagabundo todos os días.	Sempre estiven no mesmo recuncho preto da miña casa.	Un día, mentres conducía no meu barrio, vin un coche novo.	Inmediatamente vin o vagabundo saír dalí!	Ao día seguinte, deille vinte dólares.	Non lle volvín dar cartos.	2
d80cabdd-7a85-47e3-86be-5ce6591ca51e	Jim atopou unha cámara desbotable na parte inferior do caixón dos cacharros.	Comezou a disparar todo ao seu redor.	O contador chegou á última foto.	Jim comezou a darse conta da gravidade da situación.	Jim tardou un tempo en decidir o que ía fotografar.	Jim tomou 20 fotos máis.	1
58090d3f-8a91-4c89-83ef-2b4994de9d24	Ron comezou o seu novo traballo como paisaxe hoxe.	Encántalle o aire libre e sempre lle gustou traballar fóra.	O seu xefe dille que volva plantar a herba do xardín dianteiro da casa do alcalde.	Ron está eufórico, pero fai o seu traballo con rigor e remata moi pronto.	Inmediatamente despiden a Ron por insubordinación.	O seu xefe felicítao por un bo traballo.	2
e17053ac-2046-48c8-a7a2-7b9509c10e64	John e Billy fixéronse moi hábiles no beer pong.	Apuntáronse a un torneo na universidade.	Gañaron o torneo e subiron ao seguinte nivel.	O seguinte nivel levounos a Las Vegas.	En Las Vegas, John e Billy competiron contra oito participantes.	John e Billy quedaron decepcionados.	1
69b26ae4-b778-4cd1-9f13-27d28fd4430e	Caroline estuda medicina na universidade.	Caroline traballou moito para obter boas notas.	Un día, Caroline suspendeu un exame por un punto.	Caroline estaba moi frustrada, pero seguiu estudando moito.	Pero rendeuse.	Máis tarde aprobou o exame.	2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0	Trish odia o aire libre.	Seus amigos convencérona para ir de acampada.	Non o pasaba ben.	Ensináronlle a pescar e observar as estrelas.	Finalmente, de mala gana, acabou aceptando a natureza.	O peixe tiña hábitos de apareamento moi interesantes.	1
8b5fd74e-bb54-48f7-8c50-ea9cf30a7fbc	Un home achegouse a Corey mentres se repartía.	O Señor admiraba o coche de Corey e comezou a conversa.	Corey sentiu que algo estaba mal.	Cando rematou de repostar, o señor golpeou a Corey.	A Corey non lle importaba o máis mínimo.	Cando Corey volveu en si mesmo, tanto o señor como o coche desapareceran.	2
736f326b-48ea-439b-821b-6365e38773e9	Marcy recibiu o agasallo de San Valentín do seu mozo.	Era unha tarxeta cunha tarxeta de chocolate.	Estaba feliz e inmediatamente pediu os bombóns.	O seu mozo foi a vela e preguntoulle se lle gustaba.	Marcy deulle un bico ao seu noivo e díxolle que si.	Marcy encolleuse de ombros e tomou o mando da TV.	1
caa0244b-9388-409e-b50a-5e305336e540	Cara foi o outro día a un posto de comida en Filadelfia.	Parou ante un gran posto de falafel.	A comida foi incrible.	Cara non podía crer o rico que estaba.	Cara díxolle ao dono que a comida estaba asquerosa.	Cara decidiu ir ao posto de comida cada semana.	2
